Resource,ResourceId,ResourceType,ResourceGroupName,ResourceGroupId,ResourceLocation,SubscriptionName,SubscriptionId,Tags,ServiceName,Meter,PartNumber,Cost,CostUSD,Currency
uzima-dmac / uzima_db,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.sql/servers/uzima-dmac/databases/uzima_db,SQL database,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,[],SQL Database,10 DTUs,AAD-17775,1205.568,1205.568,USD
uzima-dmac / uzima_db,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.sql/servers/uzima-dmac/databases/uzima_db,SQL database,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,[],SQL Database,Data Stored,AAD-26554,164.21184,164.21184,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Bandwidth,Intra Continent Data Transfer Out,AAD-84506,917.7105078,917.7105078,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Storage,Hour Enabled,AAN-06289,224.64,224.64,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Storage,Hot RA-GRS Data Stored,AAF-30131,116.3450577,116.3450577,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Storage,Hot RA-GRS Data Stored,AAD-37411,38.41531013,38.41531013,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Storage,Hot Read Operations,AAD-54423,5.88734484,5.88734484,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Storage,Hot Other Operations,AAD-54426,2.11170024,2.11170024,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Storage,RA-GRS Named Encryption Scopes,AAF-79003,1.87214976,1.87214976,USD
uzimadmac,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima/providers/microsoft.storage/storageaccounts/uzimadmac,Storage account,cdiouzima,/subscriptions/a5d4ffbe-d287-4dd1-86c9-f1214fe751d6/resourcegroups/cdiouzima,EU North,Microsoft Azure Enterprise,a5d4ffbe-d287-4dd1-86c9-f1214fe751d6,"[""\""cdiouzima\"":\""\""""]",Storage,Class 2 Operations,AAA-71393,1.282647808,1.282647808,USD
